nghb_name;nghb_external_code;city_id
Rio Gil de Arriba;753;740
El Maguey;751;740
El Sáuz;752;740
San José del Rio;761;740
El Cuervero;755;740
Malpaso;757;740
Junta de los Ríos;756;740
Potrero de los Lopez;759;740
Catama;754;740
Rio Gil de Abajo;760;740
Ojocaliente;758;740
Los Mirasoles;762;740
Potrerito;763;740
Las Joyas;765;740
El Mirasol;764;740
Los Lobos;766;740
El Laurel;769;740
Llano Blanco;771;740
Ciénegas;767;740
La Laguna;770;740
Chinantitlán;768;740
Crucero las Pilas;772;740
Las Moras;774;740
Pozo de Los Artistas;1233;740
La Calixtina;773;740
Mesa Grande;775;740
Tepezalilla de Abajo;777;740
Praderas;776;740
Los Adobes;778;740
Arroyo Ojocalientillo;1232;740
Los Alisos;780;740
El Carruño;1219;740
Ojo de Agua;781;740
El Tepetate de Abajo;779;740
El Taray;1234;740
Mesa del Roble;962;740
Jaltiche de Arriba;784;740
El Guencho;783;740
Barranca del Roble;782;740
Las Pilas;788;740
Michoacanejo;789;740
Cerro Blanco;785;740
El Salitre;786;740
Las Animas;787;740
La Media Luna;793;740
Jaltiche de Abajo;791;740
La Fragua;792;740
Las Tinajas;795;740
Salitrillo;790;740
La Rinconada;794;740
El Caracol;796;740
La Majada;798;740
Presa de los Serna;799;740
El Terrero del Refugio;797;740
El Rodeo;802;740
El Papanton;801;740
La Teresa;803;740
Vaquería;809;740
El Guayabo;800;740
San José;807;740
Santos;808;740
Mezquitillos;805;740
Los Patos;804;740
Peña Blanca;806;740
Miguel Hidalgo;813;740
Barranca de Portales;810;740
El Tigre;812;740
La Joya;817;740
El Terrero de La Presa;816;740
El Tepalcate;815;740
Las Trojes;818;740
El Ocote;814;740
Tanque de Lucerna;819;740
Temascal;823;740
Paredes;1215;740
La Primavera;821;740
El Salitrillo;1336;740
La Labor;820;740
La Hiedra;1216;740
Ordeña Vieja;822;740
Ventanillas;1231;740
Manguillas;827;740
La Pedrera;826;740
El Jaralito;824;740
El Tepozán;825;740
La Ciénega;828;740
Los Bajíos;829;740
Presa La Codorniz;831;740
La Boquilla;833;740
Carboneras;832;740
La Haciendita;836;740
Maravillas;839;742
Valladolid;841;742
Rinconada Maravillas;1049;742
Trojes del Norte;1180;742
Corral de Barrancos;837;742
Trojes del Norte II;1181;742
Valle Escondido;1183;742
Las Pérgolas;1362;742
San Antonio de los Horcones;840;742
Los Olivos;1047;742
La Nogalera;1422;742
Residencial Villa Campestre;1090;742
Brownsville;1106;742
El Maguey;842;742
Las Jaulas;1098;742
La Loma de Valladolid;1099;742
El Refugio;843;742
La Loma;844;742
El Aurero;1101;742
El Cenizo;1104;742
